GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,AVERAGE_PERCENT_IN_COLLEGE,AVERAGE_TOTAL_IN_COLLEGE
Id,Id2,Geography,Total; Estimate; Population 18 years and over,Total; Estimate; Population 18 years and over - Enrolled in college or graduate school %,Total; Estimate;,,
1400000US06001403600,6001403600,"Census Tract 4036, Alameda County, California",3847,9.6,369,,
1400000US06001403701,6001403701,"Census Tract 4037.01, Alameda County, California",2351,11.1,261,,
1400000US06001403702,6001403702,"Census Tract 4037.02, Alameda County, California",1765,6.3,111,,
1400000US06001403800,6001403800,"Census Tract 4038, Alameda County, California",3070,9.3,286,,
1400000US06001403900,6001403900,"Census Tract 4039, Alameda County, California",3456,11.8,408,,
1400000US06001404000,6001404000,"Census Tract 4040, Alameda County, California",2577,15.7,405,,
1400000US06001404101,6001404101,"Census Tract 4041.01, Alameda County, California",2617,8.9,233,,
1400000US06001404102,6001404102,"Census Tract 4041.02, Alameda County, California",2268,10.8,245,,
1400000US06001404200,6001404200,"Census Tract 4042, Alameda County, California",2621,10.6,278,,
1400000US06001404300,6001404300,"Census Tract 4043, Alameda County, California",2699,3.7,100,,
1400000US06001404400,6001404400,"Census Tract 4044, Alameda County, California",3968,6.8,270,,
1400000US06001404501,6001404501,"Census Tract 4045.01, Alameda County, California",1343,5.3,71,,
1400000US06001404502,6001404502,"Census Tract 4045.02, Alameda County, California",4343,5.3,230,,
1400000US06001404600,6001404600,"Census Tract 4046, Alameda County, California",3752,3.3,124,,
1400000US06001404700,6001404700,"Census Tract 4047, Alameda County, California",1719,5.1,88,,
1400000US06001404800,6001404800,"Census Tract 4048, Alameda County, California",2219,8.8,195,,
1400000US06001404900,6001404900,"Census Tract 4049, Alameda County, California",3532,3.9,138,,
1400000US06001405000,6001405000,"Census Tract 4050, Alameda County, California",2819,5.5,155,,
1400000US06001405100,6001405100,"Census Tract 4051, Alameda County, California",3049,2.5,76,,
